symbol,stock_name,type,price,open_price,high,low,volume,prev_close,change,change_percent,pre_post_market,pre_post_change,pre_post_change_percent,last_update
TSLA:NASDAQ,Tesla Inc,stock,214.65,210.03,215.38,205.69,131310128,209.98,4.67,2.224,214.45,-0.2,-0.0932,2023-11-11 01:30:00
RIVN:NASDAQ,Rivian Automotive Inc,stock,15.4,15.42,15.7602,15.12,48685678,15.33,0.07,0.4566,15.42,0.02,0.1299,2023-11-11 01:30:00
AEHR:NASDAQ,Aehr Test Systems,stock,24.5,23.4,24.87,23.23,839713,23.18,1.32,5.6946,24.5,0.0,0.0,2023-11-11 01:30:00
ON:NASDAQ,ON Semiconductor Corp,stock,67.38,65.5,67.84,65.14,7930479,64.35,3.03,4.7086,67.26,-0.12,-0.1781,2023-11-11 01:30:00
VFS:NASDAQ,VinFast Auto Ltd,stock,6.07,6.37,6.62,5.77,3544314,6.49,-0.42,-6.4715,6.09,0.02,0.3295,2023-11-11 01:30:00
TSLA:NASDAQ,Tesla Inc,stock,217.66,215.6,217.64,211.6101,21002255,214.65,3.01,1.4023,215.55,-2.26,-1.0376,2023-11-13 15:14:10
RIVN:NASDAQ,Rivian Automotive Inc,stock,15.84,15.35,15.89,15.28,7157171,15.4,0.44,2.8571,15.34,-0.385,-2.4483,2023-11-13 15:14:17
AEHR:NASDAQ,Aehr Test Systems,stock,23.37,24.11,24.2,23.3,84701,24.5,-1.13,-4.6122,24.42,1.05,4.4929,2023-11-13 15:14:22
ON:NASDAQ,ON Semiconductor Corp,stock,66.28,66.37,66.82,65.75,1137620,67.38,-1.1,-1.6325,66.34,0.06,0.0905,2023-11-13 15:14:20
VFS:NASDAQ,VinFast Auto Ltd,stock,5.79,6.07,6.07,5.76,709913,6.07,-0.28,-4.6129,6.07,0.2701,4.657,2023-11-13 15:14:09
TSLA:NASDAQ,Tesla Inc,stock,234.74,235.13,235.37,231.36,7425232,223.71,11.03,4.9305,235.11,0.98,0.4186,2023-11-14 14:43:19
RIVN:NASDAQ,Rivian Automotive Inc,stock,16.9432,16.85,17.0,16.57,1358538,16.19,0.7532,4.6522,16.86,0.1,0.5967,2023-11-14 14:43:29
AEHR:NASDAQ,Aehr Test Systems,stock,24.72,24.4999,24.94,24.31,5005,23.4,1.32,5.641,24.22,-0.1235,-0.5073,2023-11-14 14:43:39
ON:NASDAQ,ON Semiconductor Corp,stock,70.02,69.35,69.93,69.08,28151,66.65,3.37,5.0563,69.4,-0.43,-0.6158,2023-11-14 14:43:38
VFS:NASDAQ,VinFast Auto Ltd,stock,6.07,6.11,6.13,5.962,84672,5.9,0.17,2.8814,6.08,0.02,0.33,2023-11-14 14:43:46
TSLA:NASDAQ,Tesla Inc,stock,234.21,242.04,244.01,231.4,118117078,241.2,-6.99,-2.898,233.7,-0.51,-0.2178,2023-11-23 01:30:00
RIVN:NASDAQ,Rivian Automotive Inc,stock,15.98,15.968,16.14,15.73,20241155,15.72,0.26,1.6539,15.99,0.01,0.0626,2023-11-23 01:30:00
AEHR:NASDAQ,Aehr Test Systems,stock,25.48,25.6,26.7,25.3147,482796,25.41,0.07,0.2755,25.6,0.12,0.471,2023-11-23 01:30:00
ON:NASDAQ,ON Semiconductor Corp,stock,68.56,68.88,69.82,68.24,4376145,68.39,0.17,0.2486,68.3,-0.26,-0.3792,2023-11-23 01:30:00

